crabworkarea_30nov2022/crab_eg_photonjet_2022Fv1
#Data tag : 22v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 360390:8267 | 10/14/22 20:29:39 | 71   | 71   | 0.026503160    | 0.025442643   |
| 360391:8267 | 10/14/22 21:01:37 | 4    | 4    | 0.001669876    | 0.001477810   |
| 360392:8267 | 10/14/22 21:10:16 | 61   | 61   | 0.024688271    | 0.023325404   |
| 360393:8267 | 10/14/22 21:36:29 | 124  | 124  | 0.050940401    | 0.047824215   |
| 360400:8269 | 10/15/22 02:47:39 | 80   | 80   | 0.024237896    | 0.023151014   |
| 360413:8272 | 10/15/22 09:30:37 | 90   | 90   | 0.036301418    | 0.034599076   |
| 360428:8273 | 10/15/22 13:03:01 | 74   | 74   | 0.028621290    | 0.026745521   |
| 360432:8273 | 10/15/22 13:53:32 | 28   | 28   | 0.011561614    | 0.010853889   |
| 360435:8273 | 10/15/22 14:15:34 | 48   | 48   | 0.019464846    | 0.018197699   |
| 360437:8273 | 10/15/22 14:45:40 | 40   | 40   | 0.016446480    | 0.015808541   |
| 360438:8273 | 10/15/22 15:05:14 | 6    | 6    | 0.002445763    | 0.002290808   |
| 360458:8274 | 10/15/22 20:24:36 | 184  | 184  | 0.066492772    | 0.062719488   |
| 360459:8274 | 10/15/22 21:47:03 | 1332 | 1332 | 0.460444666    | 0.441502660   |
| 360460:8274 | 10/16/22 06:28:58 | 1077 | 1077 | 0.229956420    | 0.222677967   |
| 360486:8276 | 10/16/22 17:01:39 | 278  | 278  | 0.110621658    | 0.104593333   |
| 360490:8276 | 10/16/22 19:59:13 | 1176 | 1176 | 0.367366843    | 0.351262089   |
| 360491:8276 | 10/17/22 03:43:58 | 176  | 176  | 0.039216910    | 0.037891776   |
| 360737:8289 | 10/19/22 10:35:46 | 18   | 18   | 0.000851660    | 0.000836038   |
| 360761:8293 | 10/19/22 15:02:57 | 157  | 157  | 0.009142650    | 0.008969232   |
| 360794:8295 | 10/19/22 23:57:32 | 672  | 672  | 0.260280132    | 0.248140288   |
| 360795:8295 | 10/20/22 04:25:12 | 395  | 395  | 0.146771960    | 0.140801556   |
| 360797:8295 | 10/20/22 10:44:41 | 5    | 5    | 0.001333206    | 0.001301375   |
| 360820:8297 | 10/20/22 13:48:58 | 885  | 885  | 0.364424802    | 0.346040072   |
| 360825:8297 | 10/20/22 20:18:01 | 357  | 357  | 0.118406834    | 0.113050163   |
| 360826:8297 | 10/20/22 22:40:06 | 117  | 117  | 0.035119681    | 0.033474419   |
| 360856:8299 | 10/21/22 11:12:56 | 56   | 56   | 0.003112129    | 0.003018575   |
| 360874:8301 | 10/21/22 16:54:01 | 52   | 52   | 0.003089442    | 0.002988063   |
| 360876:8301 | 10/21/22 17:32:25 | 341  | 341  | 0.021325601    | 0.020787529   |
| 360887:8302 | 10/21/22 22:37:33 | 122  | 122  | 0.045630232    | 0.042720539   |
| 360888:8302 | 10/21/22 23:28:39 | 282  | 282  | 0.124653693    | 0.118279390   |
| 360889:8302 | 10/22/22 01:26:51 | 17   | 17   | 0.007500631    | 0.006644248   |
| 360890:8302 | 10/22/22 01:43:25 | 504  | 504  | 0.196535202    | 0.188136628   |
| 360892:8302 | 10/22/22 05:12:52 | 296  | 296  | 0.095374650    | 0.091858207   |
| 360895:8302 | 10/22/22 07:34:19 | 700  | 700  | 0.179352376    | 0.174159027   |
| 360919:8304 | 10/22/22 16:02:12 | 796  | 796  | 0.336177821    | 0.319521971   |
| 360920:8304 | 10/22/22 21:13:19 | 4    | 4    | 0.001595643    | 0.001359519   |
| 360921:8304 | 10/22/22 21:17:35 | 218  | 218  | 0.082092332    | 0.078453572   |
| 360927:8305 | 10/23/22 01:07:12 | 1880 | 1880 | 0.680612782    | 0.650922976   |
